sep=\t	Library Name	Location Name	Call # Begin	Call # End	Image file	Sub-location name	Note display text
#			704.042 L	704.94894	shelf60.gif	Floor 1M	
!!		Brooklyn Stacks					
#			704.94894	707.092 D	shelf61.gif	Floor 1M	
!!		Brooklyn Stacks					
#			707.092 D	708.194 H	shelf62.gif	Floor 1M	
!!		Brooklyn Stacks					
#			708.194 H	709 S	shelf63.gif	Floor 1M	
!!		Brooklyn Stacks					
#			709 S	709.034 A	shelf64.gif	Floor 1M	
!!		Brooklyn Stacks					
#			709.034 A	709.04 K	shelf65.gif	Floor 1M	
!!		Brooklyn Stacks					
#			709.04 K	709.0407 B	shelf66.gif	Floor 1M	
!!		Brooklyn Stacks					
#			709.0407 B	709.04076 M	shelf67.gif	Floor 1M	
!!		Brooklyn Stacks					
#			709.04076 M	709.4 M	shelf68.gif	Floor 1M	
!!		Brooklyn Stacks					
#			709.4 M	709.45 H	shelf69.gif	Floor 1M	
!!		Brooklyn Stacks					
#			709.45 H	709.51 M	shelf70.gif	Floor 1M	
!!		Brooklyn Stacks					
#			709.51 M	709.72 G	shelf71.gif	Floor 1M	
!!		Brooklyn Stacks					
#			709.72 G	709.73 V	shelf72.gif	Floor 1M	
!!		Brooklyn Stacks					
#			709.73 V	711.4 C	shelf73.gif	Floor 1M	
!!		Brooklyn Stacks					
#			711.4 C	711.942 D	shelf74.gif	Floor 1M	
!!		Brooklyn Stacks					
#			711.942 D	712.0949	shelf75.gif	Floor 1M	
!!		Brooklyn Stacks					
#			712.0949	720.1 C	shelf76.gif	Floor 1M	
!!		Brooklyn Stacks					
#			720.1 C	720.284T	shelf77.gif	Floor 1M	
!!		Brooklyn Stacks					
#			720.284T	720.87A	shelf78.gif	Floor 1M	
!!		Brooklyn Stacks					
#			720.87A	720.942L	shelf79.gif	Floor 1M	
!!		Brooklyn Stacks					
#			720.942L	720.944V	shelf80.gif	Floor 1M	
!!		Brooklyn Stacks					
#			720.944V	720.947K	shelf81.gif	Floor 1M	
!!		Brooklyn Stacks					
#			720.947K	720.952A	shelf82.gif	Floor 1M	
!!		Brooklyn Stacks					
#			720.952A	720.973D	shelf83.gif	Floor 1M	
!!		Brooklyn Stacks					
#			720.973D	720.973L	shelf84.gif	Floor 1M	
!!		Brooklyn Stacks					
#			720.973L	720.973S	shelf85.gif	Floor 1M	
!!		Brooklyn Stacks					
#			720.973S	720.9747D	shelf86.gif	Floor 1M	
!!		Brooklyn Stacks					
#			720.9747D	721 R	shelf87.gif	Floor 1M	
!!		Brooklyn Stacks					
#			721 R	724.1R	shelf88.gif	Floor 1M	
!!		Brooklyn Stacks					
#			724.1R	724.9M	shelf89.gif	Floor 1M	
!!		Brooklyn Stacks					
#			724.9M	725.7P	shelf90.gif	Floor 1M	
!!		Brooklyn Stacks					
#			725.7P	726.7B	shelf91.gif	Floor 1M	
!!		Brooklyn Stacks					
#			726.7B	728.0942S	shelf92.gif	Floor 1M	
!!		Brooklyn Stacks					
#			728.0942S	728.6W	shelf93.gif	Floor 1M	
!!		Brooklyn Stacks					
#			728.6W	728.82094K	shelf94.gif	Floor 1M	
!!		Brooklyn Stacks					
#			728.82094K	730H	shelf95.gif	Floor 1M	
!!		Brooklyn Stacks					
#			730H	730.945P	shelf96.gif	Floor 1M	
!!		Brooklyn Stacks					
#			730.945P	730.973	shelf97.gif	Floor 1M	
!!		Brooklyn Stacks					
#			730.973	735.23S	shelf98.gif	Floor 1M	
!!		Brooklyn Stacks					
#			735.23S	738.37B	shelf99.gif	Floor 1M	
!!		Brooklyn Stacks					
#			738.37B	741 A784	shelf100.gif	Floor 1M	
!!		Brooklyn Stacks					
#			741 A784	741.24W	shelf101.gif	Floor 1M	
!!		Brooklyn Stacks					
#			741.24W	741.5973S	shelf102.gif	Floor 1M	
!!		Brooklyn Stacks					
#			741.5973S	741.6	shelf103.gif	Floor 1M	
!!		Brooklyn Stacks					
#			741.6	741.6092R	shelf104.gif	Floor 1M	
!!		Brooklyn Stacks					
#			741.6092R	741.66B	shelf105.gif	Floor 1M	
!!		Brooklyn Stacks					
#			741.66B	741.904T	shelf106.gif	Floor 1M	
!!		Brooklyn Stacks					
#			741.904T	741.945B	shelf107.gif	Floor 1M	
!!		Brooklyn Stacks					
#			741.945B	743.49C	shelf108.gif	Floor 1M	
!!		Brooklyn Stacks					
#			743.49C	745.1K	shelf109.gif	Floor 1M	
!!		Brooklyn Stacks					
#			745.1K	745.4I	shelf110.gif	Floor 1M	
!!		Brooklyn Stacks					
#			745.4I	745.5F	shelf111.gif	Floor 1M	
!!		Brooklyn Stacks					
#			745.5F	745.92Y	shelf112.gif	Floor 1M	
!!		Brooklyn Stacks					
#			745.92Y	746.6V	shelf113.gif	Floor 2	
!!		Brooklyn Stacks					
#			746.6V	747.094L	shelf114.gif	Floor 2	
!!		Brooklyn Stacks					
#			747.094L	747.852H	shelf115.gif	Floor 2	
!!		Brooklyn Stacks					
#			747.852H	749R	shelf116.gif	Floor 2	
!!		Brooklyn Stacks					
#			749R	749.32K	shelf117.gif	Floor 2	
!!		Brooklyn Stacks					
#			749.32K	751.73B	shelf118.gif	Floor 2	
!!		Brooklyn Stacks					
#			751.73B	759L	shelf119.gif	Floor 2	
!!		Brooklyn Stacks					
#			759L	759.0652N	shelf120.gif	Floor 2	
!!		Brooklyn Stacks					
#			759.0652N	759.1D	shelf121.gif	Floor 2	
!!		Brooklyn Stacks					
#			759.1D	759.1H766	shelf122.gif	Floor 2	
!!		Brooklyn Stacks					
#			759.1H766	759.1N	shelf123.gif	Floor 2	
!!		Brooklyn Stacks					
#			759.1N	759.1S634W	shelf124.gif	Floor 2	
!!		Brooklyn Stacks					
#			759.1S634W	759.2F	shelf125.gif	Floor 2	
!!		Brooklyn Stacks					
#			759.2F	759.3A	shelf126.gif	Floor 2	
!!		Brooklyn Stacks					
#			759.3A	759.36K	shelf127.gif	Floor 2	
!!		Brooklyn Stacks					
#			759.36K	759.4D317	shelf128.gif	Floor 2	
!!		Brooklyn Stacks					
#			759.4D317	759.4M27	shelf129.gif	Floor 2	
!!		Brooklyn Stacks					
#			759.4M27	759.4T7258	shelf130.gif	Floor 2	
!!		Brooklyn Stacks					
#			759.4T7258	759.5B489	shelf131.gif	Floor 2	
!!		Brooklyn Stacks					
#			759.5B489	759.5L581	shelf132.gif	Floor 2	
!!		Brooklyn Stacks					
#			759.5L581	759.55T454	shelf133.gif	Floor 2	
!!		Brooklyn Stacks					
#			759.55T454	759.8M963	shelf134.gif	Floor 2	
!!		Brooklyn Stacks					
#			759.8M963	759.9492M	shelf135.gif	Floor 2	
!!		Brooklyn Stacks					
#			759.9492M	759.951F	shelf136.gif	Floor 2	
!!		Brooklyn Stacks					
#			759.951F	764C	shelf137.gif	Floor 2	
!!		Brooklyn Stacks					
#			764C	769.943N	shelf138.gif	Floor 2	
!!		Brooklyn Stacks					
