sep=\t	Library Name	Location Name	Call # Begin	Call # End	Image file	Sub-location name	Note display text
!!		Brooklyn Stacks					
#			574_192000000000000	597_800000000000000	shelf44.gif	Floor 1	
!!		Brooklyn Stacks					
#			597_800000000000000	612_670000000000000	shelf45.gif	Floor 1	
!!		Brooklyn Stacks					
#			612_670000000000000	616_891400000000000	shelf46.gif	Floor 1	
!!		Brooklyn Stacks					
#			616_891400000000000	620_190000000000000	shelf47.gif	Floor 1	
!!		Brooklyn Stacks					
#			620_190000000000000	623_823000000000000	shelf48.gif	Floor 1	
!!		Brooklyn Stacks					
#			623_823000000000000	629_220000000000000	shelf49.gif	Floor 1	
!!		Brooklyn Stacks					
#			629_220000000000000	642_500000000000000_S	shelf50.gif	Floor 1	
!!		Brooklyn Stacks					
#			642_500000000000000_S	658_022000000000000	shelf51.gif	Floor 1	
!!		Brooklyn Stacks					
#			658_022000000000000	658_834000000000000	shelf52.gif	Floor 1	
!!		Brooklyn Stacks					
#			658_834000000000000	666_400000000000000_P	shelf53.gif	Floor 1	
!!		Brooklyn Stacks					
#			666_400000000000000_P	686_209030000000000	shelf54.gif	Floor 1	
!!		Brooklyn Stacks					
#			686_209040000000000	690_097300000000000_B	shelf55.gif	Floor 1	
!!		Brooklyn Stacks					
#			690_097300000000000_C	699_000000000000000	shelf56.gif	Floor 1	
!!		Brooklyn Stacks					
#			700_000000000000000_A	701_000000000000000_F	shelf57.gif	Floor 1M	
!!		Brooklyn Stacks					
#			701_000000000000000_F	701_800000000000000	shelf58.gif	Floor 1M	
!!		Brooklyn Stacks					
#			701_800000000000000	704_042000000000000_L	shelf59.gif	Floor 1M	
!!		Brooklyn Stacks					
#			704_042000000000000_L	704_948940000000000	shelf60.gif	Floor 1M	
!!		Brooklyn Stacks					
#			704_948940000000000	707_092000000000000_D	shelf61.gif	Floor 1M	
!!		Brooklyn Stacks					
#			707_092000000000000_D	708_194000000000000_H	shelf62.gif	Floor 1M	
!!		Brooklyn Stacks					
#			708_194000000000000_H	709_000000000000000_S	shelf63.gif	Floor 1M	
!!		Brooklyn Stacks					
#			709_000000000000000_S	709_034000000000000_A	shelf64.gif	Floor 1M	
!!		Brooklyn Stacks					
#			709_034000000000000_A	709_040000000000000_K	shelf65.gif	Floor 1M	
!!		Brooklyn Stacks					
#			709_040000000000000_K	709_040700000000000_B	shelf66.gif	Floor 1M	
!!		Brooklyn Stacks					
#			709_040700000000000_B	709_040760000000000_M	shelf67.gif	Floor 1M	
!!		Brooklyn Stacks					
#			709_040760000000000_M	709_400000000000000_M	shelf68.gif	Floor 1M	
!!		Brooklyn Stacks					
#			709_400000000000000_M	709_450000000000000_H	shelf69.gif	Floor 1M	
!!		Brooklyn Stacks					
#			709_450000000000000_H	709_510000000000000_M	shelf70.gif	Floor 1M	
!!		Brooklyn Stacks					
#			709_510000000000000_M	709_720000000000000_G	shelf71.gif	Floor 1M	
!!		Brooklyn Stacks					
#			709_720000000000000_G	709_730000000000000_V	shelf72.gif	Floor 1M	
!!		Brooklyn Stacks					
#			709_730000000000000_V	711_400000000000000_C	shelf73.gif	Floor 1M	
!!		Brooklyn Stacks					
